ItemNumber,Giro,Genero,Articulo,Material_o_Especificaciones,Attr_o_Gauge,Medida,MedidaAd,Color,Distribuidora,Empaque,Precio,MinOrder,TermEntrega,TermPago,CodSinDist,CodConDist
526,3,5,Corta Frío,C/FRIO 1/2,,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
528,3,5,Corta Frío,C/FRIO 1/2,,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
538,3,5,Corta Frío,C/FRIO 1/2,,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
527,3,5,Corta Frío,C/FRIO 1/2,5827,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2639,3,5,Corta Frío,C/FRIO 1/2,C1/2X10,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6196,3,5,Corta Frío,C/FRIO 1/2,C1/2X12,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2634,3,5,Corta Frío,C/FRIO 1/2,C1/2X6,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2635,3,5,Corta Frío,C/FRIO 1/2,C1/2X8,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4666,3,5,Corta Frío,C/FRIO 3/4,,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4667,3,5,Corta Frío,C/FRIO 3/4,,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
534,3,5,Corta Frío,C/FRIO 3/4,,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2594,3,5,Corta Frío,C/FRIO 3/4,,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
548,3,5,Corta Frío,C/FRIO 3/4,,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
533,3,5,Corta Frío,C/FRIO 3/4,C/PROTEC,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
532,3,5,Corta Frío,C/FRIO 3/4,C/PROTEC,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3915,3,5,Corta Frío,C/FRIO 3/4,C3/4X10,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3916,3,5,Corta Frío,C/FRIO 3/4,C3/4X12,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1868,3,5,Corta Frío,C/FRIO 3/4,C3/4X6,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3914,3,5,Corta Frío,C/FRIO 3/4,C3/4X8,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2593,3,5,Corta Frío,C/FRIO 3/4 C/PROT,12275,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
549,3,5,Corta Frío,C/FRIO 3/4 C/PROT,12278,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1969,3,5,Corta Frío,C/FRIO 5/8,,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4746,3,5,Corta Frío,C/FRIO 5/8,,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
531,3,5,Corta Frío,C/FRIO 5/8,,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
530,3,5,Corta Frío,C/FRIO 5/8,C/PROTEC,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
